y1,y2,year,flank1,flank2,axillary1,axillary2,breast1,breast2,bird_id,species
559.9285,123.8019,2021,2588.1953,2580.4626,1746.58,1629.3168,2302.8027,1222.7632,31,0
567.1854,149.7321,2021,2588.1953,2580.4626,1746.58,1629.3168,2302.8027,1222.7632,31,0
567.0828,408.871,2021,16126.3574,12117.0371,19518.5801,20924.0273,10022.7949,10243.8086,32,0
567.92,432.1441,2021,16126.3574,12117.0371,19518.5801,20924.0273,10022.7949,10243.8086,32,0
541.3185,421.9543,2021,16126.3574,12117.0371,19518.5801,20924.0273,10022.7949,10243.8086,32,0
774.6722,427.0964,2021,11675.45213,12603.1411,14816.2031,15364.51112,12833.5273,9821.1602,33,0
800.049,440.9374,2021,11675.45213,12603.1411,14816.2031,15364.51112,12833.5273,9821.1602,33,0
797.1429,433.1545,2021,11675.45213,12603.1411,14816.2031,15364.51112,12833.5273,9821.1602,33,0
373.6729,113.7997,2021,4057.9768,4231.313533,6593.01255,6777.50315,3924.6597,3634.5107,34,0
348.6826,115.1813,2021,4057.9768,4231.313533,6593.01255,6777.50315,3924.6597,3634.5107,34,0
336.1106,114.9266,2021,4057.9768,4231.313533,6593.01255,6777.50315,3924.6597,3634.5107,34,0
778.5851,220.6193,2021,5764.1084,5581.457833,7871.99805,7986.95535,5294.3281,4880.9551,35,0
771.1248,227.7543,2021,5764.1084,5581.457833,7871.99805,7986.95535,5294.3281,4880.9551,35,0
909.5604,224.325,2021,5764.1084,5581.457833,7871.99805,7986.95535,5294.3281,4880.9551,35,0
502.9109,197.3377,2021,4853.262733,5592.598633,22864.31298,22926.92795,4450.0303,5536.7183,36,0
513.5074,189.4033,2021,4853.262733,5592.598633,22864.31298,22926.92795,4450.0303,5536.7183,36,0
499.6045,198.8673,2021,4853.262733,5592.598633,22864.31298,22926.92795,4450.0303,5536.7183,36,0
446.1802,117.8599,2021,1069.010833,1385.9555,936.2217333,1400.875025,1172.0571,937.0741,37,0
472.0205,117.7482,2021,1069.010833,1385.9555,936.2217333,1400.875025,1172.0571,937.0741,37,0
465.4592,118.2926,2021,1069.010833,1385.9555,936.2217333,1400.875025,1172.0571,937.0741,37,0
920.4539,201.4457,2021,6779.25635,11066.87235,6142.6344,5920.117367,6446.4038,7597.1987,38,0
946.4991,202.0511,2021,6779.25635,11066.87235,6142.6344,5920.117367,6446.4038,7597.1987,38,0
932.3908,200.1397,2021,6779.25635,11066.87235,6142.6344,5920.117367,6446.4038,7597.1987,38,0
964.4715,269.5103,2021,2244.6631,2325.2832,2883.9272,1423.6694,1385.278,1948.4419,39,0
955.8448,278.343,2021,2244.6631,2325.2832,2883.9272,1423.6694,1385.278,1948.4419,39,0
919.7294,276.0147,2021,2244.6631,2325.2832,2883.9272,1423.6694,1385.278,1948.4419,39,0
10164.2441,3001.1143,2021,8219.17455,6321.10375,0,0,3133.30585,2209.3111,40,1
9591.5986,3017.2949,2021,8219.17455,6321.10375,0,0,3133.30585,2209.3111,40,1
9896.5996,2996.2346,2021,8219.17455,6321.10375,0,0,3133.30585,2209.3111,40,1
6094.2222,953.7834,2021,2713.1793,2384.59445,0,0,2589.84365,2341.9724,41,1
5912.7378,1084.094,2021,2713.1793,2384.59445,0,0,2589.84365,2341.9724,41,1
6705.4302,1061.1831,2021,2713.1793,2384.59445,0,0,2589.84365,2341.9724,41,1
5878.9927,1151.8103,2021,10643.54883,10610.9723,0,0,10985.22655,10963.32715,42,1
5536.1011,1130.4403,2021,10643.54883,10610.9723,0,0,10985.22655,10963.32715,42,1
5795.2949,1138.9714,2021,10643.54883,10610.9723,0,0,10985.22655,10963.32715,42,1
4205.7935,409.5767,2021,2259.6,3554,0,0,2988.49865,3037.66305,43,1
4169.6323,396.4559,2021,2259.6,3554,0,0,2988.49865,3037.66305,43,1
4139.894,402.4698,2021,2259.6,3554,0,0,2988.49865,3037.66305,43,1
3442.8909,657.0314,2021,3826.8924,3106.14218,0,0,1726.80585,2306.8409,44,1
3298.5249,745.7938,2021,3826.8924,3106.14218,0,0,1726.80585,2306.8409,44,1
3407.3767,646.5316,2021,3826.8924,3106.14218,0,0,1726.80585,2306.8409,44,1
